,alpha
1985-01-01,0.45189553594514836
1985-04-01,0.4609953241499292
1985-07-01,0.43782954976838356
1985-10-01,0.43508844033405736
1986-01-01,0.4341943814573331
1986-04-01,0.43330991710621325
1986-07-01,0.4257601891764129
1986-10-01,0.43243491398563594
1987-01-01,0.45298770592986265
1987-04-01,0.4609953241499292
1987-07-01,0.47230274327842975
1987-10-01,0.46712847769228616
1988-01-01,0.46340544183153737
1988-04-01,0.444587032594931
1988-07-01,0.48197584601242904
1988-10-01,0.49730200137288866
1989-01-01,0.5005994932852407
1989-04-01,0.5057010523069864
1989-07-01,0.5022790237705156
1989-10-01,0.43876336351076145
1990-01-01,0.43876336351076145
1990-04-01,0.4369058857141203
1990-07-01,0.45189553594514836
1990-10-01,0.44974819906123376
1991-01-01,0.43243491398563594
1991-04-01,0.4050728347691599
1991-07-01,0.39887657076391897
1991-10-01,0.40687750464617045
1992-01-01,0.3999563375312945
1992-04-01,0.447649034238232
1992-07-01,0.4369058857141203
1992-10-01,0.4834256765438074
1993-01-01,0.49730200137288866
1993-04-01,0.5128049867361756
1993-07-01,0.5472818359197952
1993-10-01,0.5764925957320824
1994-01-01,0.6621291404423564
1994-04-01,0.6578191059898988
1994-07-01,0.7242318666666068
1994-10-01,0.691728991911788
1995-01-01,0.7406209641913536
1995-04-01,0.7971505024932374
1995-07-01,0.6495951907180422
1995-10-01,0.6760102323365161
1996-01-01,0.6578191059898988
1996-04-01,0.6712069713947343
1996-07-01,0.6974956328109012
1996-10-01,0.7168956787465752
1997-01-01,0.7100324189469772
1997-04-01,0.6974956328109012
1997-07-01,0.6418244035150794
1997-10-01,0.6760102323365161
1998-01-01,0.6456578874158059
1998-04-01,0.6418244035150794
1998-07-01,0.6206107499082046
1998-10-01,0.6109232198444513
1999-01-01,0.5901049911421218
1999-04-01,0.5818247819412472
1999-07-01,0.5764925957320824
1999-10-01,0.5738800282073545
2000-01-01,0.563768400905854
2000-04-01,0.5428342401550992
2000-07-01,0.5342677768202047
2000-10-01,0.5005994932852407
2001-01-01,0.4791283535766076
2001-04-01,0.4563400345412946
2001-07-01,0.4369058857141203
2001-10-01,0.41000350498505034
2002-01-01,0.4126162450440751
2002-04-01,0.40331882737592545
2002-07-01,0.38605786753153354
2002-10-01,0.447649034238232
2003-01-01,0.4188881522199346
2003-04-01,0.43876336351076145
2003-07-01,0.45081575925201106
2003-10-01,0.5164915729321828
2004-01-01,0.5221965029506074
2004-04-01,0.5713020465704358
2004-07-01,0.6078056954693718
2004-10-01,0.6273804771470568
2005-01-01,0.6810154735191452
2005-04-01,0.691728991911788
2005-07-01,0.7100324189469772
2005-10-01,0.6578191059898988
2006-01-01,0.7100324189469772
2006-04-01,0.6760102323365161
2006-07-01,0.6621291404423564
2006-10-01,0.6456578874158059
2007-01-01,0.6344375228161513
2007-04-01,0.6173228308382772
2007-07-01,0.6047392071836746
2007-10-01,0.5541677190281644
2008-01-01,0.540652106682812
2008-04-01,0.5146368133720945
2008-07-01,0.4834256765438074
2008-10-01,0.45298770592986265
2009-01-01,0.4005037738788136
2009-04-01,0.3786813776358603
2009-07-01,0.37394734327622675
2009-10-01,0.3848125531452016
2010-01-01,0.392319235744205
2010-04-01,0.4056686523983368
2010-07-01,0.41464448729701253
2010-10-01,0.45081575925201106
2011-01-01,0.4646318653734931
2011-04-01,0.5092089345466426
2011-07-01,0.5342677768202047
2011-10-01,0.5472818359197952
2012-01-01,0.5738800282073545
2012-04-01,0.5791405557521749
2012-07-01,0.5987515534496789
2012-10-01,0.6418244035150794
2013-01-01,0.6380866620070925
2013-04-01,0.6578191059898988
2013-07-01,0.6760102323365161
2013-10-01,0.6862460559083814
2014-01-01,0.6974956328109012
2014-04-01,0.7100324189469772
2014-07-01,0.7168956787465752
2014-10-01,0.7035825161426656
2015-01-01,0.7406209641913536
2015-04-01,0.7100324189469772
2015-07-01,0.6862460559083814
2015-10-01,0.6578191059898988
2016-01-01,0.6109232198444513
2016-04-01,0.6109232198444513
2016-07-01,0.6078056954693718
2016-10-01,0.6206107499082046
2017-01-01,0.6456578874158059
2017-04-01,0.6344375228161513
2017-07-01,0.6456578874158059
2017-10-01,0.6380866620070925
2018-01-01,0.6621291404423564
2018-04-01,0.6760102323365161
2018-07-01,0.6810154735191452
2018-10-01,0.6760102323365161
2019-01-01,0.6621291404423564
2019-04-01,0.6578191059898988
2019-07-01,0.6109232198444513
2019-10-01,0.6380866620070925
2020-01-01,0.5764925957320824
2020-04-01,0.5687579035629866
2020-07-01,0.5901049911421218
2020-10-01,0.6206107499082046
2021-01-01,0.6665854192116186
2021-04-01,0.7100324189469772
2021-07-01,0.7498618599617707
2021-10-01,0.7971505024932374
2022-01-01,0.7971505024932374
2022-04-01,0.7710704556027203
2022-07-01,0.7498618599617707
2022-10-01,0.6974956328109012
2023-01-01,0.6712069713947343
2023-04-01,0.6578191059898988
2023-07-01,0.6273804771470568
2023-10-01,0.6173228308382772
2024-01-01,0.6109232198444513
2024-04-01,0.5987515534496789
2024-07-01,0.5791405557521749
2024-10-01,0.587305916228855
2025-01-01,0.5791405557521749
2025-04-01,0.5713020465704358
2025-07-01,0.5764925957320824
2025-10-01,0.5764925957320824
2026-01-01,0.5687579035629866
