split,model,date,feature_date,c_q_realised,pd_q_realised,pd_q_true,pd_a_true,k_irb_true,pd_q_hat,pd_q_hat_std,pd_a_hat,c_q_hat,k_irb_hat,alpha_oracle,alpha_bayes,alpha_hat,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat,shortfall_predicted_at_hat
main,dfl_linear,2117-07-01,2117-04-01,0.0003574626500154,0.0007943614444786667,0.0015389933611679,0.0061417770160941,0.0609723508810497,0.007028521504253149,,0.02781907172849607,0.003162834676913917,0.10062868308981314,0.6918987498727056,0.6602278653630838,0.4815170250397641,1.113765710371896,1.1085582133573308,1.0791736166886978,0.034592093683198266,0.029384596668633023,0.005207497014565243,0.6918987498726964,1.1137657103718943,0.0,0.0
main,dfl_linear,2117-10-01,2117-07-01,4.791636060886232e-05,0.00010648080135302736,0.0014476000575554,0.0057778390843205,0.059387337592573,0.003057857509702444,,0.012175441365975703,0.0013760358793661,0.07904335871421456,0.7010889369575934,0.6689485333628091,0.5708025981011333,1.1174470051056542,1.1120628178134182,1.0956213286497196,0.021825676455934584,0.016441489163698586,0.005384187292235998,0.7010889369575934,1.1174470051056542,0.0,0.0
main,dfl_linear,2118-01-01,2117-10-01,1.1543268966311826e-05,2.565170881402628e-05,0.0020481056233414,0.0081672884209587,0.0684811790901609,0.003388478886336088,,0.013485180301734623,0.0015248154988512397,0.08171263546872023,0.6592274008699069,0.6210062582894591,0.5588800144705455,1.1106741069541624,1.1042573669699371,1.0938273294077823,0.016846777546380087,0.010430037562154881,0.006416739984225206,0.6592274008699069,1.1106741069541624,0.0,0.0
main,dfl_linear,2118-04-01,2118-01-01,0.0030013006527795,0.006669557006176666,0.0034630857914768,0.013780551373523,0.0822762973496737,0.005605420097708702,,0.022233859502407416,0.002522439043968916,0.09462944515448313,0.5935507184599312,0.5563972475702837,0.504751305786753,1.081902279113553,1.0767755833684334,1.0696491151366836,0.012253163976869486,0.007126468231749783,0.005126695745119703,0.5935507184599309,1.081902279113553,0.0,0.0
main,dfl_linear,2118-07-01,2118-04-01,0.0012630833962735,0.002806851991718889,0.0024033723978642,0.0095788878942234,0.0727129947007706,0.010291481390595436,,0.04053478688129919,0.004631166625767946,0.11211488730553021,0.6362291238416351,0.6002641088129189,0.44067630211920467,1.0988503883798946,1.093262533988365,1.0684675095526466,0.030382878827247994,0.02479502443571846,0.005587854391529534,0.6362291238416333,1.098850388379894,0.0,0.0
main,dfl_linear,2118-10-01,2118-07-01,0.0016151233209976,0.0035891629355502223,0.0037020093900237,0.0147260110734103,0.0839975458108943,0.005422011483460665,,0.021512293408124217,0.0024399051675572992,0.09377027503035006,0.5923725959767049,0.5488879679415822,0.5081790738285055,1.0899510481792678,1.0833479610378114,1.077166365669355,0.012784682509912715,0.006181595368456305,0.00660308714145641,0.5923725959767049,1.0899510481792678,0.0,0.0
main,dfl_linear,2119-01-01,2118-10-01,0.0009644183713629,0.002143151936362,0.004072974244469,0.0161926322557216,0.0864487735452671,0.0055552697740495205,,0.022036597775437317,0.0024998713983222843,0.09439697506924306,0.5861211454600388,0.538375780506927,0.5056763555905317,1.0928156924320271,1.0852549361909865,1.0800767920662557,0.01273890036577141,0.005178144124730721,0.007560756241040689,0.5861211454600388,1.0928156924320271,0.0,0.0
main,dfl_linear,2119-04-01,2119-01-01,7.83826158819159e-05,0.00017418359084870198,0.0034740369648564,0.0138239018284423,0.0823579368020503,0.00445112818852067,,0.017685989861301432,0.0020030076848343015,0.08871853806650043,0.6037323219380412,0.5560386229315415,0.528824915736122,1.1009538088987312,1.0929786510345314,1.0884280790412793,0.012525729857451928,0.0045505719932521504,0.007975157864199778,0.6037323219380412,1.1009538088987312,0.0,0.0
main,dfl_linear,2119-07-01,2119-04-01,0.0003082973740216,0.0006851052756035556,0.0033073128891471,0.0131637662314288,0.0810840872641285,0.0054137688130140305,,0.02147985572275868,0.0024361959658563137,0.09373106751315628,0.6075615219770959,0.5616626876402451,0.508336080974946,1.1001972394743311,1.0926277402067068,1.0838332748149409,0.016363964659390273,0.008794465391765982,0.007569499267624291,0.6075615219770959,1.100197239474331,0.0,0.0
main,dfl_linear,2119-10-01,2119-07-01,6.446347362395144e-06,1.4325216360878098e-05,0.003196948845182,0.0127266030821892,0.0802023339790991,0.004323678091168404,,0.017182870172462117,0.0019456551410257817,0.08797644033578476,0.6119622171620197,0.5655918246566234,0.5319285684392323,1.1027702032729745,1.094982966528642,1.0893297095345496,0.01344049373842493,0.005653256994092359,0.007787236744332571,0.6119622171620196,1.1027702032729745,0.0,0.0
main,dfl_linear,2120-01-01,2119-10-01,0.0005877076158957,0.0013060169242126668,0.0032129463598247,0.0127899798561609,0.0803321535224256,0.005394738633185625,,0.02140496247295942,0.0024276323849335315,0.09364034491664637,0.6093107716779187,0.5650114617842159,0.508699575213017,1.0987832438322664,1.0916013101881583,1.082471862490231,0.01631138134203547,0.00912944769792734,0.007181933644108129,0.6093107716779187,1.098783243832266,0.0,0.0
main,dfl_linear,2120-04-01,2120-01-01,0.0005529796238298,0.0012288436085106666,0.0029934130507221,0.0119199962826147,0.0784870894569644,0.005213226657360792,,0.020690406232439562,0.0023459519958123564,0.09276028438177585,0.6163705419434817,0.573322702092107,0.5122397743102631,1.1001418475422682,1.0931478562301138,1.0832237005070366,0.016918147035231534,0.009924155723077144,0.006993991312154391,0.6163705419434814,1.1001418475422675,0.0,0.0
main,dfl_linear,2120-07-01,2120-04-01,9.368835932315076e-05,0.00020819635405144613,0.0041597555736484,0.016535488511013,0.0869883325833011,0.005393653642386198,,0.02140069236343667,0.0024271441390737894,0.09363516387562111,0.5872610558673701,0.5360896733259919,0.5087203425608111,1.0981096621375321,1.0895608114993267,1.084988405807728,0.01312125632980421,0.00457240569159878,0.00854885063820543,0.5872610558673701,1.098109662137532,0.0,0.0
main,dfl_linear,2120-10-01,2120-07-01,0.0037896632828836,0.008421473961963556,0.0037673125337764,0.0149843079438103,0.0844474023171412,0.006103865336626768,,0.024192826577168147,0.0027467394014820457,0.09685024164496016,0.5833044201226774,0.5469429798799058,0.4960057371147443,1.0758898691437835,1.071159123333006,1.0645320165348435,0.011357852608939956,0.006627106798162474,0.004730745810777481,0.5833044201226774,1.0758898691437837,0.0,0.0
