split,model,date,feature_date,c_q_realised,pd_q_realised,pd_q_true,pd_a_true,k_irb_true,pd_q_hat,pd_q_hat_std,pd_a_hat,c_q_hat,k_irb_hat,alpha_oracle,alpha_bayes,alpha_hat,utility_oracle,utility_bayes_realised,utility,regret,regret_vs_bayes,regret_irreducible,alpha_oracle_panel,utility_oracle_panel,shortfall_realised_at_hat,shortfall_predicted_at_hat
main,dfl_mlp,2117-07-01,2117-04-01,0.0043401269418984,0.009644726537552,0.0096890871623237,0.0381967077602946,0.1101230619491977,0.008575299195945263,0.0005432199971808063,0.03386249920292117,0.0038588846381753684,0.10631782251265133,0.5059110919489352,0.44740903886579,0.4606766260209027,1.063035879843693,1.0557465982931495,1.0573997228105498,0.00563615703314313,-0.001653124517400295,0.007289281550543425,0.5059110919489352,1.0630358798436923,0.0,0.0
main,dfl_mlp,2117-10-01,2117-07-01,0.0008355716494745,0.0018568258877211111,0.0087098995046588,0.0343870611810089,0.106787807935257,0.006783540919423103,0.0002926078771663879,0.02685931161302102,0.0030525934137403963,0.09966308164934753,0.5240448011160496,0.4590087880396539,0.48517176628964953,1.083660756521522,1.0732781290892055,1.0774548990062902,0.0062058575152317275,-0.004176769917084711,0.010382627432316438,0.5240448011160496,1.0836607565215195,0.0,0.0
main,dfl_mlp,2118-01-01,2117-10-01,0.0021250788257467,0.004722397390548222,0.0089239835821328,0.03522094582292,0.1075290409842279,0.006695886794477701,0.00023530715713970753,0.02651573660561435,0.0030131490575149656,0.09931196030782369,0.5185266448728549,0.4563951391198462,0.48650898941936904,1.0760933764025917,1.0669756269089608,1.0713948107029487,0.004698565699642998,-0.00441918379398798,0.009117749493630978,0.5185266448728549,1.0760933764025913,0.0,0.0
main,dfl_mlp,2118-04-01,2118-01-01,0.0078685801372976,0.01748573363843911,0.0058303901874777,0.0231183916762302,0.0956510509849462,0.010433896444737911,0.0008328523393924551,0.04108692035140682,0.00469525340013206,0.1125802329740849,0.5355623247058171,0.5007075291605063,0.4391238942148629,1.047833319845926,1.044720291713488,1.0392199987097785,0.008613321136147434,0.005500293003709356,0.003113028132438078,0.5355623247058171,1.047833319845926,0.0,0.0
main,dfl_mlp,2118-07-01,2118-04-01,0.0006087300383562,0.0013527334185693333,0.0044370923488137,0.0176305917027176,0.0886378766620879,0.008930259570479392,0.00022719756724764206,0.035245383442180755,0.004018616806715726,0.10755065939309967,0.5798896277506919,0.5291613778379664,0.4563192125580739,1.0938914951086858,1.085677947218499,1.073883875592125,0.020007619516560826,0.011794071626374025,0.008213547890186801,0.5798896277506919,1.0938914951086858,0.0,0.0
main,dfl_mlp,2118-10-01,2118-07-01,0.0001409303903101,0.0003131786451335555,0.003767028001106,0.0149831826273301,0.0844454602856122,0.006026825401932001,0.00046785322111771816,0.0238902401823049,0.0027120714308694004,0.09651683319984339,0.5959958927542911,0.5469513609675121,0.4973080577649642,1.09928737064483,1.091117007954724,1.0828468955176622,0.016440475127167842,0.008270112437061883,0.008170362690105959,0.5959958927542911,1.0992873706448298,0.0,0.0
main,dfl_mlp,2119-01-01,2118-10-01,0.0011384028399209,0.002529784088713111,0.0055653837159627,0.0220763824466169,0.0944440031452647,0.0047138302586972715,0.0005501452166678555,0.018722418335728852,0.0021212236164137722,0.09018297191196119,0.559339147845716,0.5054890826834854,0.5227537188251967,1.0876014440942152,1.0791676638180665,1.0818715815817348,0.0057298625124804214,-0.0027039177636682954,0.008433780276148717,0.559339147845716,1.087601444094215,0.0,0.0
main,dfl_mlp,2119-04-01,2119-01-01,0.0034479264818367,0.007662058848526,0.0041236630014065,0.0163929046220774,0.0867653647060218,0.005600513704121113,0.0005658819585083551,0.022214561967508373,0.0025202311668545006,0.09460678088978007,0.5766570585429706,0.5370331927867643,0.5048414134100543,1.0769956744043354,1.0717050667178285,1.0674067966686451,0.009588877735690282,0.0042982700491833725,0.00529060768650691,0.5766570585429696,1.0769956744043352,0.0,0.0
main,dfl_mlp,2119-07-01,2119-04-01,1.298614014834072e-05,2.885808921853493e-05,0.0040043169331408,0.0159213169805962,0.0860133289682988,0.006579505652189255,0.0005496722931021924,0.02605942067140432,0.002960777543485165,0.09884084514560677,0.5909246328063236,0.5402279762140887,0.4883100579343271,1.099198600010475,1.090688145241855,1.081972677104485,0.0172259229059899,0.008715468137370008,0.00851045476861989,0.5909246328063236,1.099198600010475,0.0,0.0
main,dfl_mlp,2119-10-01,2119-07-01,0.0004482650863607,0.0009961446363571111,0.0050224176829955,0.0199388287749058,0.091804343876531,0.0030691577587276695,0.0002621979287682276,0.012220228212633133,0.0013811209914274514,0.07913960628986251,0.5699544705368923,0.5161140583943478,0.570367831286462,1.0931974441506291,1.084393602680669,1.086012629033015,0.007184815117614152,-0.001619026352345898,0.00880384146996005,0.5699544705368923,1.0931974441506287,0.0007252406771620645,0.0
main,dfl_mlp,2120-01-01,2119-10-01,0.0008016536328867,0.001781452517526,0.005618097986987,0.0222837220984437,0.0946879298997749,0.005591414775699377,0.00031218942948685503,0.0221787738483602,0.00251613664906472,0.0945647047521501,0.5596297043153476,0.5045188731866509,0.5050087413724045,1.0895314984696214,1.0807146768198572,1.0807930476289567,0.008738450840664713,-7.837080909944838e-05,0.008816821649764162,0.5596297043153476,1.089531498469621,0.0,0.0
main,dfl_mlp,2120-04-01,2120-01-01,0.0004542098925478,0.001009355316772889,0.00458998826714,0.0182339314782944,0.0895030246819608,0.00573702109977603,0.0006732242524089457,0.022751358148951573,0.0025816594948992132,0.0952311423483131,0.5775097956188942,0.5255638239249159,0.502365397245111,1.0943985390418407,1.085907559539466,1.0821155934061544,0.012282945635686326,0.003791966133311675,0.008490979502374651,0.5775097956188942,1.0943985390418405,0.0,0.0
