model_family,architecture,seed,lambda_shortfall,T,rho_scale,split,model_name,n,rmse_vs_realised,rmse_vs_true,mae_vs_true,bias_vs_true,mean_regret,median_regret,mean_regret_vs_bayes,mean_regret_irreducible,mean_utility,shortfall_bind_share
pto,linear,42,0.2,500,0.03,main,linear,150,0.0020597106925764,0.0018233938768459,0.0012169425462372,-0.000266074054616,0.0057525645800108,0.0045394966018648,0.0055874545839677,0.0001651099960431,1.088016355963265,0.4933333333333333
pto,mlp,42,0.2,500,0.03,main,mlp,150,0.0018693932635061,0.001628400683433,0.0011284629588047,-0.0003594374123238,0.005389354772739,0.0042440184877386,0.0052242447766959,0.0001651099960431,1.088379565770537,0.54
pto,persistence,42,0.2,500,0.03,main,persistence,150,0.0019754026530586,0.0017571971441899,0.0011893081593076,-7.195913992865195e-05,0.0058895176091422,0.0047074521338389,0.0057244076130991,0.0001651099960431,1.0878794029341337,0.5533333333333333
pto,persistence_ma4,42,0.2,500,0.03,main,persistence_ma4,150,0.0020727602347219,0.0018643791143738,0.0013701538375664,-7.791002466344527e-05,0.0067376373559112,0.0049635348365238,0.006572527359868,0.0001651099960431,1.0870312831873647,0.5
blackbox,linear,42,0.2,500,0.03,main,blackbox_linear,150,,,,,0.0057614318398382,0.0044199843182535,0.005596321843795,0.0001651099960431,1.0880074887034377,0.4866666666666667
blackbox,mlp,42,0.2,500,0.03,main,blackbox_mlp,150,,,,,0.005165643359654,0.0038792702296005,0.0050005333636108,0.0001651099960431,1.088603277183622,0.4933333333333333
dfl,linear,42,0.2,500,0.03,main,dfl_linear,150,0.002723562293319,0.00254965370756,0.0014931294730261,0.0003585362629445,0.0056668441749638,0.0043249396035589,0.0055017341789206,0.0001651099960431,1.088102076368312,0.5066666666666667
dfl,mlp,42,0.2,500,0.03,main,dfl_mlp,150,0.0018640818963326,0.0016100389664305,0.0011094636149066,6.434807292574712e-05,0.0050472848636205,0.0037016022327435,0.0048821748675773,0.0001651099960431,1.0887216356796556,0.4933333333333333
pto,linear,42,1.0,500,0.03,main,linear,150,0.0020597106925764,0.0018233938768459,0.0012169425462372,-0.000266074054616,0.0273154896891326,0.0085765266082622,0.0269493834557296,0.0003661062334029,1.0664534304590525,0.4933333333333333
pto,mlp,42,1.0,500,0.03,main,mlp,150,0.0018693932635061,0.001628400683433,0.0011284629588047,-0.0003594374123238,0.0256391553400459,0.0080687439725224,0.0252730491066429,0.0003661062334029,1.068129764808139,0.5333333333333333
