DATE,USSTHPI
1975-01-01,59.9
1975-04-01,60.85
1975-07-01,61.16
1975-10-01,62.31
1976-01-01,62.85
1976-04-01,65.41
1976-07-01,66.5
1976-10-01,67.2
1977-01-01,69.41
1977-04-01,72.57
1977-07-01,74.29
1977-10-01,77.07
1978-01-01,79.4
1978-04-01,82.45
1978-07-01,85.12
1978-10-01,87.48
1979-01-01,91.37
1979-04-01,94.44
1979-07-01,96.46
1979-10-01,98.31
1980-01-01,100.0
1980-04-01,101.67
1980-07-01,104.42
1980-10-01,104.58
1981-01-01,105.08
1981-04-01,107.33
1981-07-01,108.88
1981-10-01,107.52
1982-01-01,106.13
1982-04-01,108.66
1982-07-01,106.89
1982-10-01,111.58
1983-01-01,114.38
1983-04-01,115.84
1983-07-01,116.85
1983-10-01,117.58
1984-01-01,119.34
1984-04-01,120.95
1984-07-01,122.07
1984-10-01,123.07
1985-01-01,124.78
1985-04-01,126.68
1985-07-01,128.66
1985-10-01,130.1
1986-01-01,132.62
1986-04-01,135.4
1986-07-01,137.48
1986-10-01,139.59
1987-01-01,142.36
1987-04-01,144.57
1987-07-01,146.25
1987-10-01,147.18
1988-01-01,149.47
1988-04-01,152.47
1988-07-01,154.06
1988-10-01,155.46
1989-01-01,157.32
1989-04-01,159.44
1989-07-01,162.84
1989-10-01,164.18
1990-01-01,165.11
1990-04-01,165.81
1990-07-01,166.82
1990-10-01,166.17
1991-01-01,167.56
1991-04-01,168.67
1991-07-01,169.0
1991-10-01,171.35
1992-01-01,172.68
1992-04-01,172.63
1992-07-01,174.61
1992-10-01,175.49
1993-01-01,175.56
1993-04-01,177.24
1993-07-01,178.68
1993-10-01,180.14
1994-01-01,181.26
1994-04-01,182.33
1994-07-01,183.09
1994-10-01,182.93
1995-01-01,183.89
1995-04-01,186.92
1995-07-01,189.79
1995-10-01,191.26
1996-01-01,193.39
1996-04-01,193.71
1996-07-01,194.57
1996-10-01,196.09
1997-01-01,197.7
1997-04-01,199.35
1997-07-01,202.06
1997-10-01,204.69
1998-01-01,207.77
1998-04-01,209.6
1998-07-01,212.54
1998-10-01,215.06
1999-01-01,217.31
1999-04-01,220.2
1999-07-01,223.33
1999-10-01,225.62
2000-01-01,229.93
2000-04-01,233.69
2000-07-01,237.95
2000-10-01,241.59
2001-01-01,247.58
2001-04-01,251.73
2001-07-01,255.62
2001-10-01,258.79
2002-01-01,262.49
2002-04-01,266.98
2002-07-01,272.27
2002-10-01,276.14
2003-01-01,279.49
2003-04-01,282.91
2003-07-01,287.28
2003-10-01,295.39
2004-01-01,300.04
2004-04-01,307.37
2004-07-01,319.08
2004-10-01,325.93
2005-01-01,333.41
2005-04-01,344.1
2005-07-01,354.52
2005-10-01,362.57
2006-01-01,368.3
2006-04-01,372.09
2006-07-01,375.15
2006-10-01,379.0
2007-01-01,380.4
2007-04-01,380.15
2007-07-01,375.9
2007-10-01,374.67
2008-01-01,371.91
2008-04-01,362.51
2008-07-01,351.1
2008-10-01,347.86
2009-01-01,350.42
2009-04-01,341.25
2009-07-01,332.35
2009-10-01,329.8
2010-01-01,325.87
2010-04-01,322.91
2010-07-01,326.04
2010-10-01,323.72
2011-01-01,314.72
2011-04-01,309.17
2011-07-01,311.47
2011-10-01,312.91
2012-01-01,309.63
2012-04-01,308.21
2012-07-01,312.31
2012-10-01,314.77
2013-01-01,316.31
2013-04-01,321.14
2013-07-01,325.69
2013-10-01,328.27
2014-01-01,330.93
2014-04-01,337.35
2014-07-01,342.2
2014-10-01,344.98
2015-01-01,348.79
2015-04-01,354.43
2015-07-01,359.45
2015-10-01,362.31
2016-01-01,365.66
2016-04-01,372.47
2016-07-01,379.12
2016-10-01,382.04
2017-01-01,384.73
2017-04-01,393.32
2017-07-01,399.38
2017-10-01,402.68
2018-01-01,408.32
2018-04-01,415.81
2018-07-01,420.9
2018-10-01,422.31
2019-01-01,427.06
2019-04-01,434.2
2019-07-01,439.75
2019-10-01,443.65
2020-01-01,448.8
2020-04-01,453.33
2020-07-01,461.34
2020-10-01,471.44
2021-01-01,482.86
2021-04-01,509.67
2021-07-01,538.02
2021-10-01,556.37
2022-01-01,576.63
2022-04-01,613.81
2022-07-01,623.29
2022-10-01,616.71
2023-01-01,620.31
2023-04-01,638.5
2023-07-01,649.07
2023-10-01,649.37
2024-01-01,658.64
2024-04-01,674.27
2024-07-01,681.12
2024-10-01,684.87
2025-01-01,689.94
2025-04-01,700.24
2025-07-01,704.26
2025-10-01,708.31
2026-01-01,713.09
